fare_id,price,currency_type,payment_method,transfers,transfer_duration
269,4.75,USD,1,,
270,5.05,USD,1,,
271,5.35,USD,1,,
272,5.90,USD,1,,
273,6.25,USD,1,,
274,5.05,USD,1,,
275,6.25,USD,1,,
276,6.30,USD,1,,
277,5.75,USD,1,,
278,6.00,USD,1,,
279,5.55,USD,1,,
280,5.10,USD,1,,
281,4.95,USD,1,,
282,4.55,USD,1,,
283,4.15,USD,1,,
284,3.45,USD,1,,
285,3.80,USD,1,,
286,5.55,USD,1,,
287,5.55,USD,1,,
288,5.55,USD,1,,
289,5.55,USD,1,,
290,5.60,USD,1,,
291,5.70,USD,1,,
292,5.80,USD,1,,
293,5.90,USD,1,,
294,6.05,USD,1,,
295,10.65,USD,1,,
296,6.75,USD,1,,
297,7.50,USD,1,,
298,7.80,USD,1,,
299,6.50,USD,1,,
300,7.15,USD,1,,
301,6.00,USD,1,,
302,6.25,USD,1,,
303,11.25,USD,1,,
304,6.60,USD,1,,
305,5.85,USD,1,,
306,2.60,USD,1,,
307,6.70,USD,1,,
308,2.60,USD,1,,
309,2.60,USD,1,,
310,2.60,USD,1,,
311,2.60,USD,1,,
312,3.00,USD,1,,
313,3.25,USD,1,,
314,3.25,USD,1,,
315,3.25,USD,1,,
316,3.75,USD,1,,
317,3.95,USD,1,,
318,4.30,USD,1,,
319,4.50,USD,1,,
320,4.85,USD,1,,
321,5.15,USD,1,,
322,5.65,USD,1,,
323,6.05,USD,1,,
324,4.80,USD,1,,
325,6.00,USD,1,,
326,6.10,USD,1,,
327,5.55,USD,1,,
328,5.80,USD,1,,
329,5.30,USD,1,,
330,4.85,USD,1,,
331,4.70,USD,1,,
332,4.35,USD,1,,
333,3.95,USD,1,,
334,3.10,USD,1,,
335,3.45,USD,1,,
336,5.30,USD,1,,
337,5.30,USD,1,,
338,5.30,USD,1,,
339,5.30,USD,1,,
340,5.40,USD,1,,
341,5.45,USD,1,,
342,5.60,USD,1,,
343,5.70,USD,1,,
344,5.80,USD,1,,
345,10.45,USD,1,,
346,6.50,USD,1,,
347,7.30,USD,1,,
348,7.55,USD,1,,
349,6.25,USD,1,,
350,6.95,USD,1,,
351,5.80,USD,1,,
352,6.10,USD,1,,
353,11.10,USD,1,,
354,6.45,USD,1,,
355,5.65,USD,1,,
356,2.60,USD,1,,
357,2.60,USD,1,,
358,6.70,USD,1,,
359,2.60,USD,1,,
360,2.60,USD,1,,
361,2.60,USD,1,,
362,2.75,USD,1,,
363,2.95,USD,1,,
364,2.95,USD,1,,
365,2.95,USD,1,,
366,3.45,USD,1,,
367,3.80,USD,1,,
368,4.10,USD,1,,
369,4.35,USD,1,,
370,4.65,USD,1,,
371,4.95,USD,1,,
372,5.50,USD,1,,
373,5.85,USD,1,,
374,4.65,USD,1,,
375,5.85,USD,1,,
376,5.90,USD,1,,
377,5.35,USD,1,,
378,5.60,USD,1,,
379,5.15,USD,1,,
380,4.70,USD,1,,
381,4.55,USD,1,,
382,4.15,USD,1,,
383,3.65,USD,1,,
384,2.80,USD,1,,
385,3.15,USD,1,,
386,5.15,USD,1,,
387,5.15,USD,1,,
388,5.15,USD,1,,
389,5.15,USD,1,,
390,5.20,USD,1,,
391,5.25,USD,1,,
392,5.45,USD,1,,
393,5.50,USD,1,,
394,5.65,USD,1,,
395,10.25,USD,1,,
396,6.35,USD,1,,
397,7.10,USD,1,,
398,7.35,USD,1,,
399,6.10,USD,1,,
400,6.75,USD,1,,
401,5.60,USD,1,,
402,5.90,USD,1,,
403,10.90,USD,1,,
404,6.25,USD,1,,
405,5.45,USD,1,,
406,2.60,USD,1,,
407,2.60,USD,1,,
408,2.60,USD,1,,
409,6.70,USD,1,,
410,2.60,USD,1,,
411,2.60,USD,1,,
412,2.60,USD,1,,
413,2.60,USD,1,,
414,2.60,USD,1,,
415,2.60,USD,1,,
416,3.10,USD,1,,
417,3.45,USD,1,,
418,3.90,USD,1,,
419,4.15,USD,1,,
420,4.45,USD,1,,
421,4.75,USD,1,,
422,5.30,USD,1,,
423,5.65,USD,1,,
424,4.45,USD,1,,
425,5.65,USD,1,,
426,5.70,USD,1,,
427,5.15,USD,1,,
428,5.40,USD,1,,
429,4.95,USD,1,,
430,4.50,USD,1,,
431,4.35,USD,1,,
432,3.95,USD,1,,
433,3.30,USD,1,,
434,2.60,USD,1,,
435,2.80,USD,1,,
436,4.95,USD,1,,
437,4.95,USD,1,,
438,4.95,USD,1,,
439,4.95,USD,1,,
440,5.00,USD,1,,
441,5.05,USD,1,,
442,5.25,USD,1,,
443,5.30,USD,1,,
444,5.45,USD,1,,
445,9.95,USD,1,,
446,6.10,USD,1,,
447,6.90,USD,1,,
448,7.15,USD,1,,
449,5.90,USD,1,,
450,6.55,USD,1,,
451,5.55,USD,1,,
452,5.85,USD,1,,
453,10.80,USD,1,,
454,6.20,USD,1,,
455,5.40,USD,1,,
456,2.60,USD,1,,
457,2.60,USD,1,,
458,2.60,USD,1,,
459,2.60,USD,1,,
460,6.70,USD,1,,
461,2.60,USD,1,,
462,2.60,USD,1,,
463,2.60,USD,1,,
464,2.60,USD,1,,
465,2.60,USD,1,,
466,2.95,USD,1,,
467,3.30,USD,1,,
468,3.85,USD,1,,
469,4.10,USD,1,,
470,4.40,USD,1,,
471,4.70,USD,1,,
472,5.25,USD,1,,
473,5.60,USD,1,,
474,4.40,USD,1,,
475,5.60,USD,1,,
476,5.65,USD,1,,
477,5.10,USD,1,,
478,5.35,USD,1,,
479,4.85,USD,1,,
480,4.45,USD,1,,
481,4.25,USD,1,,
482,3.85,USD,1,,
483,3.20,USD,1,,
484,2.60,USD,1,,
485,2.65,USD,1,,
486,4.85,USD,1,,
487,4.85,USD,1,,
488,4.85,USD,1,,
489,4.85,USD,1,,
490,4.95,USD,1,,
491,5.00,USD,1,,
492,5.15,USD,1,,
493,5.25,USD,1,,
494,5.35,USD,1,,
495,9.80,USD,1,,
496,6.10,USD,1,,
497,6.85,USD,1,,
498,7.10,USD,1,,
499,5.80,USD,1,,
500,6.50,USD,1,,
501,5.45,USD,1,,
502,5.75,USD,1,,
503,10.75,USD,1,,
504,6.10,USD,1,,
505,5.30,USD,1,,
506,2.60,USD,1,,
507,2.60,USD,1,,
508,2.60,USD,1,,
509,2.60,USD,1,,
510,2.60,USD,1,,
511,6.70,USD,1,,
512,2.60,USD,1,,
513,2.60,USD,1,,
514,2.60,USD,1,,
515,2.60,USD,1,,
516,2.80,USD,1,,
517,3.15,USD,1,,
518,3.65,USD,1,,
519,4.00,USD,1,,
520,4.30,USD,1,,
521,4.60,USD,1,,
522,5.15,USD,1,,
523,5.50,USD,1,,
524,4.30,USD,1,,
525,5.50,USD,1,,
526,5.60,USD,1,,
527,5.05,USD,1,,
528,5.25,USD,1,,
529,4.85,USD,1,,
530,4.40,USD,1,,
531,4.20,USD,1,,
532,3.70,USD,1,,
533,3.00,USD,1,,
534,2.60,USD,1,,
535,2.60,USD,1,,
536,4.65,USD,1,,
537,4.65,USD,1,,
538,4.65,USD,1,,
539,4.65,USD,1,,
540,4.85,USD,1,,
541,4.90,USD,1,,
542,5.05,USD,1,,
543,5.15,USD,1,,
544,5.30,USD,1,,
545,9.65,USD,1,,
546,6.00,USD,1,,
547,6.75,USD,1,,
548,7.05,USD,1,,
549,5.80,USD,1,,
550,6.45,USD,1,,
551,5.35,USD,1,,
552,5.60,USD,1,,
553,10.60,USD,1,,
554,5.95,USD,1,,
555,5.15,USD,1,,
556,3.40,USD,1,,
557,3.00,USD,1,,
558,2.75,USD,1,,
559,2.60,USD,1,,
560,2.60,USD,1,,
561,2.60,USD,1,,
562,6.70,USD,1,,
563,2.60,USD,1,,
564,2.60,USD,1,,
565,2.60,USD,1,,
566,2.60,USD,1,,
567,2.90,USD,1,,
568,3.40,USD,1,,
569,3.80,USD,1,,
570,4.15,USD,1,,
571,4.50,USD,1,,
572,5.00,USD,1,,
573,5.35,USD,1,,
574,4.15,USD,1,,
575,5.35,USD,1,,
576,5.60,USD,1,,
577,5.05,USD,1,,
578,5.15,USD,1,,
579,4.85,USD,1,,
580,4.40,USD,1,,
581,4.20,USD,1,,
582,3.60,USD,1,,
583,2.60,USD,1,,
584,2.60,USD,1,,
585,2.60,USD,1,,
586,4.45,USD,1,,
587,4.45,USD,1,,
588,4.45,USD,1,,
589,4.45,USD,1,,
590,4.60,USD,1,,
591,4.75,USD,1,,
592,4.95,USD,1,,
593,5.00,USD,1,,
594,5.15,USD,1,,
595,9.40,USD,1,,
596,5.85,USD,1,,
597,6.60,USD,1,,
598,6.90,USD,1,,
599,5.80,USD,1,,
600,6.45,USD,1,,
601,5.20,USD,1,,
602,5.50,USD,1,,
603,10.50,USD,1,,
604,5.85,USD,1,,
605,5.05,USD,1,,
606,3.60,USD,1,,
607,3.25,USD,1,,
608,2.95,USD,1,,
609,2.60,USD,1,,
610,2.60,USD,1,,
611,2.60,USD,1,,
612,2.60,USD,1,,
613,6.70,USD,1,,
614,2.60,USD,1,,
615,2.60,USD,1,,
616,2.60,USD,1,,
617,2.60,USD,1,,
618,3.20,USD,1,,
619,3.60,USD,1,,
620,4.05,USD,1,,
621,4.40,USD,1,,
622,4.90,USD,1,,
623,5.30,USD,1,,
624,4.05,USD,1,,
625,5.25,USD,1,,
626,5.65,USD,1,,
627,5.10,USD,1,,
628,5.00,USD,1,,
629,4.85,USD,1,,
630,4.45,USD,1,,
631,4.25,USD,1,,
632,3.80,USD,1,,
633,3.10,USD,1,,
634,2.60,USD,1,,
635,2.60,USD,1,,
636,4.20,USD,1,,
637,4.20,USD,1,,
638,4.20,USD,1,,
639,4.20,USD,1,,
640,4.40,USD,1,,
641,4.50,USD,1,,
642,4.80,USD,1,,
643,4.90,USD,1,,
644,5.05,USD,1,,
645,9.10,USD,1,,
646,5.75,USD,1,,
647,6.50,USD,1,,
648,6.80,USD,1,,
649,5.80,USD,1,,
650,6.50,USD,1,,
651,5.20,USD,1,,
652,5.50,USD,1,,
653,10.50,USD,1,,
654,5.85,USD,1,,
655,5.05,USD,1,,
656,3.60,USD,1,,
657,3.25,USD,1,,
658,2.95,USD,1,,
659,2.60,USD,1,,
660,2.60,USD,1,,
661,2.60,USD,1,,
662,2.60,USD,1,,
663,2.60,USD,1,,
664,6.70,USD,1,,
665,2.60,USD,1,,
666,2.60,USD,1,,
667,2.60,USD,1,,
668,3.20,USD,1,,
669,3.60,USD,1,,
670,4.05,USD,1,,
671,4.40,USD,1,,
672,4.90,USD,1,,
673,5.30,USD,1,,
674,4.05,USD,1,,
675,5.25,USD,1,,
676,5.65,USD,1,,
677,5.10,USD,1,,
678,5.00,USD,1,,
679,4.85,USD,1,,
680,4.45,USD,1,,
681,4.25,USD,1,,
682,3.80,USD,1,,
683,3.10,USD,1,,
684,2.60,USD,1,,
685,2.60,USD,1,,
686,4.20,USD,1,,
687,4.20,USD,1,,
688,4.20,USD,1,,
689,4.20,USD,1,,
690,4.40,USD,1,,
691,4.50,USD,1,,
692,4.80,USD,1,,
693,4.90,USD,1,,
694,5.05,USD,1,,
695,9.10,USD,1,,
696,5.75,USD,1,,
697,6.50,USD,1,,
698,6.80,USD,1,,
699,5.80,USD,1,,
700,6.50,USD,1,,
701,5.20,USD,1,,
702,5.50,USD,1,,
703,10.50,USD,1,,
704,5.85,USD,1,,
705,5.05,USD,1,,
706,3.60,USD,1,,
707,3.25,USD,1,,
708,2.95,USD,1,,
709,2.60,USD,1,,
710,2.60,USD,1,,
711,2.60,USD,1,,
712,2.60,USD,1,,
713,2.60,USD,1,,
714,2.60,USD,1,,
715,6.70,USD,1,,
716,2.60,USD,1,,
717,2.60,USD,1,,
718,3.20,USD,1,,
719,3.60,USD,1,,
720,4.05,USD,1,,
721,4.40,USD,1,,
722,4.90,USD,1,,
723,5.30,USD,1,,
724,4.05,USD,1,,
725,5.25,USD,1,,
726,5.65,USD,1,,
727,5.10,USD,1,,
728,5.00,USD,1,,
729,4.85,USD,1,,
730,4.45,USD,1,,
731,4.25,USD,1,,
732,3.80,USD,1,,
733,3.10,USD,1,,
734,2.60,USD,1,,
735,2.60,USD,1,,
736,4.20,USD,1,,
737,4.20,USD,1,,
738,4.20,USD,1,,
739,4.20,USD,1,,
740,4.40,USD,1,,
741,4.50,USD,1,,
742,4.80,USD,1,,
743,4.90,USD,1,,
744,5.05,USD,1,,
745,9.10,USD,1,,
746,5.75,USD,1,,
747,6.50,USD,1,,
748,6.80,USD,1,,
749,5.80,USD,1,,
750,6.50,USD,1,,
751,5.50,USD,1,,
752,5.80,USD,1,,
753,10.80,USD,1,,
754,6.15,USD,1,,
755,4.80,USD,1,,
756,3.95,USD,1,,
757,3.75,USD,1,,
758,3.45,USD,1,,
759,3.10,USD,1,,
760,2.95,USD,1,,
761,2.80,USD,1,,
762,2.60,USD,1,,
763,2.60,USD,1,,
764,2.60,USD,1,,
765,2.60,USD,1,,
766,6.70,USD,1,,
767,2.60,USD,1,,
768,2.60,USD,1,,
769,3.10,USD,1,,
770,3.60,USD,1,,
771,4.10,USD,1,,
772,4.65,USD,1,,
773,5.00,USD,1,,
774,3.60,USD,1,,
775,4.95,USD,1,,
776,5.80,USD,1,,
777,5.25,USD,1,,
778,5.30,USD,1,,
779,5.05,USD,1,,
780,4.60,USD,1,,
781,4.45,USD,1,,
782,4.05,USD,1,,
783,3.45,USD,1,,
784,2.65,USD,1,,
785,2.60,USD,1,,
786,4.70,USD,1,,
787,4.70,USD,1,,
788,4.70,USD,1,,
789,4.70,USD,1,,
790,4.90,USD,1,,
791,5.00,USD,1,,
792,5.10,USD,1,,
793,5.20,USD,1,,
794,5.35,USD,1,,
795,9.10,USD,1,,
796,5.45,USD,1,,
797,6.25,USD,1,,
798,6.50,USD,1,,
799,6.00,USD,1,,
800,6.65,USD,1,,
801,5.75,USD,1,,
802,6.00,USD,1,,
803,11.00,USD,1,,
804,6.35,USD,1,,
805,4.60,USD,1,,
806,4.20,USD,1,,
807,3.95,USD,1,,
808,3.80,USD,1,,
809,3.45,USD,1,,
810,3.30,USD,1,,
811,3.15,USD,1,,
812,2.90,USD,1,,
813,2.60,USD,1,,
814,2.60,USD,1,,
815,2.60,USD,1,,
816,2.60,USD,1,,
817,6.70,USD,1,,
818,2.60,USD,1,,
819,2.60,USD,1,,
820,3.25,USD,1,,
821,3.75,USD,1,,
822,4.40,USD,1,,
823,4.80,USD,1,,
824,3.25,USD,1,,
825,4.75,USD,1,,
826,6.00,USD,1,,
827,5.45,USD,1,,
828,5.55,USD,1,,
829,5.25,USD,1,,
830,4.80,USD,1,,
831,4.65,USD,1,,
832,4.25,USD,1,,
833,3.85,USD,1,,
834,2.95,USD,1,,
835,2.85,USD,1,,
836,5.00,USD,1,,
837,5.00,USD,1,,
838,5.00,USD,1,,
839,5.00,USD,1,,
840,5.15,USD,1,,
841,5.20,USD,1,,
842,5.35,USD,1,,
843,5.40,USD,1,,
844,5.55,USD,1,,
845,7.00,USD,1,,
846,5.25,USD,1,,
847,6.05,USD,1,,
848,6.30,USD,1,,
849,6.20,USD,1,,
850,6.85,USD,1,,
851,6.05,USD,1,,
852,6.30,USD,1,,
853,11.30,USD,1,,
854,6.70,USD,1,,
855,4.30,USD,1,,
856,4.50,USD,1,,
857,4.30,USD,1,,
858,4.10,USD,1,,
859,3.90,USD,1,,
860,3.85,USD,1,,
861,3.65,USD,1,,
862,3.40,USD,1,,
863,3.20,USD,1,,
864,3.20,USD,1,,
865,3.20,USD,1,,
866,2.60,USD,1,,
867,2.60,USD,1,,
868,6.70,USD,1,,
869,2.60,USD,1,,
870,2.60,USD,1,,
871,3.25,USD,1,,
872,4.05,USD,1,,
873,4.45,USD,1,,
874,2.60,USD,1,,
875,4.45,USD,1,,
876,6.35,USD,1,,
877,5.75,USD,1,,
878,5.85,USD,1,,
879,5.55,USD,1,,
880,5.15,USD,1,,
881,4.95,USD,1,,
882,4.60,USD,1,,
883,4.15,USD,1,,
884,3.45,USD,1,,
885,3.35,USD,1,,
886,5.40,USD,1,,
887,5.40,USD,1,,
888,5.40,USD,1,,
889,5.40,USD,1,,
890,5.45,USD,1,,
891,5.50,USD,1,,
892,5.65,USD,1,,
893,5.75,USD,1,,
894,5.85,USD,1,,
895,9.10,USD,1,,
896,4.95,USD,1,,
897,5.70,USD,1,,
898,6.00,USD,1,,
899,6.50,USD,1,,
900,7.20,USD,1,,
901,6.30,USD,1,,
902,6.60,USD,1,,
903,11.60,USD,1,,
904,6.95,USD,1,,
905,2.60,USD,1,,
906,4.75,USD,1,,
907,4.50,USD,1,,
908,4.35,USD,1,,
909,4.15,USD,1,,
910,4.10,USD,1,,
911,4.00,USD,1,,
912,3.80,USD,1,,
913,3.60,USD,1,,
914,3.60,USD,1,,
915,3.60,USD,1,,
916,3.10,USD,1,,
917,2.60,USD,1,,
918,2.60,USD,1,,
919,6.70,USD,1,,
920,2.60,USD,1,,
921,2.60,USD,1,,
922,2.60,USD,1,,
923,2.60,USD,1,,
924,2.60,USD,1,,
925,2.60,USD,1,,
926,6.60,USD,1,,
927,6.05,USD,1,,
928,6.10,USD,1,,
929,5.80,USD,1,,
930,5.35,USD,1,,
931,5.20,USD,1,,
932,4.80,USD,1,,
933,4.40,USD,1,,
934,3.80,USD,1,,
935,3.80,USD,1,,
936,5.60,USD,1,,
937,5.60,USD,1,,
938,5.60,USD,1,,
939,5.60,USD,1,,
940,5.70,USD,1,,
941,5.75,USD,1,,
942,5.90,USD,1,,
943,6.00,USD,1,,
944,6.10,USD,1,,
945,9.10,USD,1,,
946,4.70,USD,1,,
947,5.45,USD,1,,
948,5.75,USD,1,,
949,6.75,USD,1,,
950,7.45,USD,1,,
951,6.60,USD,1,,
952,6.90,USD,1,,
953,11.90,USD,1,,
954,7.25,USD,1,,
955,4.35,USD,1,,
956,5.05,USD,1,,
957,4.85,USD,1,,
958,4.65,USD,1,,
959,4.45,USD,1,,
960,4.40,USD,1,,
961,4.30,USD,1,,
962,4.15,USD,1,,
963,4.05,USD,1,,
964,4.05,USD,1,,
965,4.05,USD,1,,
966,3.60,USD,1,,
967,3.25,USD,1,,
968,2.60,USD,1,,
969,2.60,USD,1,,
970,6.70,USD,1,,
971,2.60,USD,1,,
972,2.60,USD,1,,
973,2.60,USD,1,,
974,2.60,USD,1,,
975,4.50,USD,1,,
976,6.90,USD,1,,
977,6.30,USD,1,,
978,6.40,USD,1,,
979,6.10,USD,1,,
980,5.70,USD,1,,
981,5.50,USD,1,,
982,5.15,USD,1,,
983,4.70,USD,1,,
984,4.15,USD,1,,
985,4.15,USD,1,,
986,5.95,USD,1,,
987,5.95,USD,1,,
988,5.95,USD,1,,
989,5.95,USD,1,,
990,6.00,USD,1,,
991,6.05,USD,1,,
992,6.20,USD,1,,
993,6.30,USD,1,,
994,6.45,USD,1,,
995,9.75,USD,1,,
996,4.40,USD,1,,
997,5.15,USD,1,,
998,5.45,USD,1,,
999,7.05,USD,1,,
1000,7.75,USD,1,,
1001,6.90,USD,1,,
1002,7.20,USD,1,,
1003,12.20,USD,1,,
1004,7.55,USD,1,,
1005,4.65,USD,1,,
1006,5.35,USD,1,,
1007,5.15,USD,1,,
1008,4.95,USD,1,,
1009,4.75,USD,1,,
1010,4.70,USD,1,,
1011,4.60,USD,1,,
1012,4.50,USD,1,,
1013,4.40,USD,1,,
1014,4.40,USD,1,,
1015,4.40,USD,1,,
1016,4.10,USD,1,,
1017,3.75,USD,1,,
1018,3.25,USD,1,,
1019,2.60,USD,1,,
1020,2.60,USD,1,,
1021,6.70,USD,1,,
1022,2.60,USD,1,,
1023,2.60,USD,1,,
1024,3.35,USD,1,,
1025,4.80,USD,1,,
1026,7.20,USD,1,,
1027,6.65,USD,1,,
1028,6.70,USD,1,,
1029,6.45,USD,1,,
1030,6.00,USD,1,,
1031,5.85,USD,1,,
1032,5.45,USD,1,,
1033,5.05,USD,1,,
1034,4.50,USD,1,,
1035,4.50,USD,1,,
1036,6.25,USD,1,,
1037,6.25,USD,1,,
1038,6.25,USD,1,,
1039,6.25,USD,1,,
1040,6.30,USD,1,,
1041,6.40,USD,1,,
1042,6.55,USD,1,,
1043,6.60,USD,1,,
1044,6.75,USD,1,,
1045,10.25,USD,1,,
1046,2.60,USD,1,,
1047,4.85,USD,1,,
1048,5.10,USD,1,,
1049,7.40,USD,1,,
1050,8.05,USD,1,,
1051,7.45,USD,1,,
1052,7.75,USD,1,,
1053,12.75,USD,1,,
1054,8.10,USD,1,,
1055,5.15,USD,1,,
1056,5.90,USD,1,,
1057,5.65,USD,1,,
1058,5.50,USD,1,,
1059,5.30,USD,1,,
1060,5.25,USD,1,,
1061,5.15,USD,1,,
1062,5.00,USD,1,,
1063,4.90,USD,1,,
1064,4.90,USD,1,,
1065,4.90,USD,1,,
